"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17226","PD_01 Store Page loads correctly","chromium","2026-05-28","passed","2026-05-28","Product Details","product_details\productDetails.spec.js","",""
"","16840","CT_02 - Verifying Cart Items Updated Correctly","chromium","2026-05-28","passed","2026-05-28","Cart Management Module","cart_management\cart_management.spec.js","",""
"","8293","CT_03 - Opening cart page successfully","chromium","2026-05-28","passed","2026-05-28","","cart_management\cart_management.spec.js","",""
"","0","S4 - Invalid Search Handled Correctly","firefox","2026-05-28","skipped","2026-05-28","Search Module","search\search.spec.js","",""
"","18059","CT_03 - Opening cart page successfully","chromium","2026-05-28","passed","2026-05-28","Cart Management Module","cart_management\cart_management.spec.js","",""
"","21048","CT_05 - Increase Quantity Button Works","chromium","2026-05-28","passed","2026-05-28","","cart_management\cart_management.spec.js","",""
"","9899","S9 - Search works with uppercase input","chromium","2026-05-28","passed","2026-05-28","Search Module","search\search.spec.js","",""
"","0","S5 - Empty Search Validation works","webkit","2026-05-28","skipped","2026-05-28","Search Module","search\search.spec.js","",""
"","9431","PD_03 - Product image gallery works correctly","chromium","2026-05-28","passed","2026-05-28","Product Details","product_details\productDetails.spec.js","",""
"","0","S7 - Search closes successfully","firefox","2026-05-28","skipped","2026-05-28","Search Module","search\search.spec.js","",""
"","22246","CT_09 - Subtotal Validation","chromium","2026-05-28","failed","2026-05-28","Cart Management Module","cart_management\check.spec.js","",""
"","0","PLP_01 - Product listing page loads correctly","firefox","2026-05-28","skipped","2026-05-28","","productListing\product.spec.js","",""
"","14142","PLP_04 - Learn More button works","chromium","2026-05-28","passed","2026-05-28","","productListing\product.spec.js","",""
"","30479","HN_09 - Razer Logo returns to the HomePage","chromium","2026-05-28","broken","2026-05-28","Homepage & Navigation Module","homepage\homepage.spec.js","",""
"","22765","CT_07 - Remove Product Button Works","chromium","2026-05-28","passed","2026-05-28","Cart Management Module","cart_management\cart_management.spec.js","",""
"","19014","CT_08 - Empty Cart Validation","chromium","2026-05-28","passed","2026-05-28","Homepage & Navigation Module","cart_management\cart_management.spec.js","",""
"","15616","HN_10 - Get Help footer link opens correctly","chromium","2026-05-28","passed","2026-05-28","Homepage & Navigation Module","homepage\homepage.spec.js","",""
"","0","PD_03 - Product image loads successfully","webkit","2026-05-28","skipped","2026-05-28","Product Details","product_details\productDetails.spec.js","",""
"","11305","CT_08 - Empty Cart Validation","chromium","2026-05-28","passed","2026-05-28","Cart Management Module","cart_management\cart_management.spec.js","",""
"","15683","PD_03 - Product image loads successfully","chromium","2026-05-28","failed","2026-05-28","Product Details","product_details\productDetails.spec.js","",""
"","27854","CT_02 - Verifying cart items updated correctly","chromium","2026-05-28","passed","2026-05-28","Homepage & Navigation Module","cart_management\cart_management.spec.js","",""
"","1","S8 - Search works in mobile viewport","firefox","2026-05-28","skipped","2026-05-28","Search Module","search\search.spec.js","",""
"","15635","CT_02 - Verifying Cart Items Updated Correctly","chromium","2026-05-28","passed","2026-05-28","Cart Management Module","cart_management\check.spec.js","",""
"","0","HN_15 - Homepage responsive at mobile viewport","webkit","2026-05-28","skipped","2026-05-28","Homepage & Navigation Module","homepage\homepage.spec.js","",""
"","10452","CT_15 - Open Cart on Mobile Screen Size","chromium","2026-05-28","passed","2026-05-28","Cart Management Module","cart_management\cart_management.spec.js","",""
"","25392","CT_15 - Minimum Quantity Limit","chromium","2026-05-28","passed","2026-05-28","Cart Management Module","cart_management\cart_management.spec.js","",""
"","7574","CT_15 - Open Cart on Mobile Screen Size","chromium","2026-05-28","passed","2026-05-28","Cart Management Module","cart_management\check.spec.js","",""
"","18288","PLP_01 - Product listing page loads correctly","chromium","2026-05-28","passed","2026-05-28","","productListing\product.spec.js","",""
"","1","S9 - Search works with uppercase input","webkit","2026-05-28","skipped","2026-05-28","Search Module","search\search.spec.js","",""
"","30399","test","chromium","2026-05-28","broken","2026-05-28","Product Details","product_details\productDetails.spec.js","",""
"","16318","CT_07 - Remove Product Button Works","chromium","2026-05-28","passed","2026-05-28","Cart Management Module","cart_management\check.spec.js","",""
"","19503","CT_10 - Tax and Shipping Calculation Validation","chromium","2026-05-28","failed","2026-05-28","Homepage & Navigation Module","cart_management\cart_management.spec.js","",""
"","27160","S3 - Search textbox redirect to result page","chromium","2026-05-28","passed","2026-05-28","Search Module","search\search.spec.js","",""
"","13531","CT_01 - Add Product to Cart","chromium","2026-05-28","passed","2026-05-28","Cart Management Module","cart_management\cart_management.spec.js","",""
"","0","HN_15 - Homepage responsive at mobile viewport","firefox","2026-05-28","skipped","2026-05-28","Homepage & Navigation Module","homepage\homepage.spec.js","",""
"","12247","HN_11 - Mobile hamburger menu opens successfully","chromium","2026-05-28","passed","2026-05-28","Homepage & Navigation Module","homepage\homepage.spec.js","",""
"","29727","CT_04 - Verify Product Details in Cart","chromium","2026-05-28","passed","2026-05-28","Cart Management Module","cart_management\cart_management.spec.js","",""
"","20931","CT_11 - Increase quantity works up to limit","chromium","2026-05-28","passed","2026-05-28","Homepage & Navigation Module","cart_management\cart_management.spec.js","",""
"","8375","HN_06 - Search input accepts typing","chromium","2026-05-28","passed","2026-05-28","Homepage & Navigation Module","homepage\homepage.spec.js","",""
"","14300","CT_10 - Cart Persistence (refresh)","chromium","2026-05-28","passed","2026-05-28","Cart Management Module","cart_management\cart_management.spec.js","",""
"","9982","S8 - Search works in mobile viewport","chromium","2026-05-28","passed","2026-05-28","Search Module","search\search.spec.js","",""
"","14180","PLP_05 - Product prices visible","chromium","2026-05-28","passed","2026-05-28","","productListing\product.spec.js","",""
"","30139","CT_05 - debug quantity element","chromium","2026-05-28","broken","2026-05-28","","cart_management\cart_management.spec.js","",""
"","9529","CT_11 - Add Same Product Twice","chromium","2026-05-28","passed","2026-05-28","Cart Management Module","cart_management\check.spec.js","",""
"","10550","S5 - Empty Search Validation works","chromium","2026-05-28","passed","2026-05-28","Search Module","search\search.spec.js","",""
"","8891","HN_05 - Search icon opens search input","chromium","2026-05-28","passed","2026-05-28","Homepage & Navigation Module","homepage\homepage.spec.js","",""
"","15484","CT_01 - Add Product to cart","chromium","2026-05-28","passed","2026-05-28","","cart_management\cart_management.spec.js","",""
"","9805","HN_03 - Buy Navigation redirects correctly","chromium","2026-05-28","failed","2026-05-28","Homepage & Navigation Module","homepage\homepage.spec.js","",""
"","21050","CT_14 - Maximum Quantity Limit","chromium","2026-05-28","passed","2026-05-28","Cart Management Module","cart_management\cart_management.spec.js","",""
"","0","HN_13 - Change location popup opens correctly","webkit","2026-05-28","skipped","2026-05-28","Homepage & Navigation Module","homepage\homepage.spec.js","",""
"","15748","CT_03 - Opening cart page successfully","chromium","2026-05-28","passed","2026-05-28","Homepage & Navigation Module","cart_management\cart_management.spec.js","",""
"","5481","CT_11 - Maximum quantity limit reached","chromium","2026-05-28","failed","2026-05-28","Homepage & Navigation Module","cart_management\cart_management.spec.js","",""
"","15393","CT_05 - Increase Quantity Button Works","chromium","2026-05-28","passed","2026-05-28","Cart Management Module","cart_management\check.spec.js","",""
"","28385","CT_06 - Remove Product Button Works","chromium","2026-05-28","passed","2026-05-28","Homepage & Navigation Module","cart_management\cart_management.spec.js","",""
"","16137","S10 - User can open product from search results","chromium","2026-05-28","passed","2026-05-28","Search Module","search\search.spec.js","",""
"","0","HN_14 - Browser back button works correctly","webkit","2026-05-28","skipped","2026-05-28","Homepage & Navigation Module","homepage\homepage.spec.js","",""
"","0","HN_13 - Change location popup opens correctly","firefox","2026-05-28","skipped","2026-05-28","Homepage & Navigation Module","homepage\homepage.spec.js","",""
